NU_ANO_AVALIACAO;CO_UF;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;TP_SERIE;ID_TIPO_REDE;PC_ALUNO_ALFABETIZADO;VL_MEDIA_LP;PC_ALUNO_NIVEL_0_LP;PC_ALUNO_NIVEL_1_LP;PC_ALUNO_NIVEL_2_LP;PC_ALUNO_NIVEL_3_LP;PC_ALUNO_NIVEL_4_LP;PC_ALUNO_NIVEL_5_LP;PC_ALUNO_NIVEL_6_LP;PC_ALUNO_NIVEL_7_LP;PC_ALUNO_NIVEL_8_LP
2025;11;RO;1100189;Pimenta Bueno;2;5;82.34;772.84810;0.78000;1.51000;3.05000;5.02000;10.81000;24.53000;33.73000;14.91000;5.66000
2025;11;RO;1100205;Porto Velho;2;5;62.53;748.08530;3.18000;4.24000;8.56000;11.97000;15.27000;27.36000;19.84000;7.60000;1.98000
2025;11;RO;1100205;Porto Velho;2;2;81.28;771.08750;0.44000;1.31000;2.65000;7.46000;10.58000;26.94000;31.46000;13.61000;5.56000
2025;11;RO;1100205;Porto Velho;2;3;61.86;747.25940;3.28000;4.35000;8.77000;12.13000;15.43000;27.38000;19.43000;7.39000;1.85000
2025;11;RO;1100254;Presidente Médici;2;3;82.60;771.06030;1.34000;1.43000;2.10000;5.48000;8.38000;31.22000;30.81000;15.34000;3.88000
2025;11;RO;1100254;Presidente Médici;2;5;81.85;769.52650;0.94000;1.97000;3.26000;6.16000;8.15000;32.67000;28.14000;15.02000;3.68000
2025;11;RO;1100254;Presidente Médici;2;2;80.07;765.93310;0.00000;3.24000;5.96000;7.74000;7.61000;36.07000;21.90000;14.27000;3.20000
2025;11;RO;1100262;Rio Crespo;2;3;67.88;760.35350;0.00000;0.00000;5.00000;13.69000;18.70000;30.33000;19.14000;9.71000;3.43000
2025;11;RO;1100262;Rio Crespo;2;5;67.88;760.35350;0.00000;0.00000;5.00000;13.69000;18.70000;30.33000;19.14000;9.71000;3.43000
2025;11;RO;1100288;Rolim de Moura;2;5;87.01;777.50470;0.66000;1.36000;2.00000;4.21000;8.38000;28.68000;29.44000;17.11000;8.15000
2025;11;RO;1100288;Rolim de Moura;2;3;87.17;778.08220;0.71000;1.20000;1.98000;4.26000;8.15000;28.66000;29.11000;17.43000;8.50000
2025;11;RO;1100288;Rolim de Moura;2;2;84.91;769.69880;0.00000;3.43000;2.35000;3.56000;11.50000;28.88000;33.93000;12.91000;3.45000
2025;11;RO;1100296;Santa Luzia D'Oeste;2;5;94.70;787.17670;2.16000;0.00000;1.05000;2.08000;1.12000;22.89000;29.16000;35.23000;6.30000
2025;11;RO;1100296;Santa Luzia D'Oeste;2;3;94.70;787.17670;2.16000;0.00000;1.05000;2.08000;1.12000;22.89000;29.16000;35.23000;6.30000
2025;11;RO;1100304;Vilhena;2;3;78.47;764.90820;1.36000;2.83000;3.80000;6.22000;11.47000;30.76000;27.68000;12.26000;3.60000
2025;11;RO;1100304;Vilhena;2;5;78.47;764.90820;1.36000;2.83000;3.80000;6.22000;11.47000;30.76000;27.68000;12.26000;3.60000
2025;11;RO;1100320;São Miguel do Guaporé;2;3;85.43;770.99230;0.39000;0.78000;2.08000;4.80000;10.97000;35.83000;28.29000;14.89000;1.98000
2025;11;RO;1100320;São Miguel do Guaporé;2;5;85.43;770.99230;0.39000;0.78000;2.08000;4.80000;10.97000;35.83000;28.29000;14.89000;1.98000
2025;11;RO;1100338;Nova Mamoré;2;3;72.50;757.54810;1.13000;3.79000;6.28000;9.07000;12.09000;32.10000;23.43000;9.23000;2.89000
2025;11;RO;1100338;Nova Mamoré;2;5;72.50;757.54810;1.13000;3.79000;6.28000;9.07000;12.09000;32.10000;23.43000;9.23000;2.89000
2025;11;RO;1100346;Alvorada D'Oeste;2;5;79.80;765.68890;1.93000;1.74000;4.30000;6.04000;13.48000;25.31000;31.43000;11.59000;4.17000
2025;11;RO;1100346;Alvorada D'Oeste;2;3;79.80;765.68890;1.93000;1.74000;4.30000;6.04000;13.48000;25.31000;31.43000;11.59000;4.17000
2025;11;RO;1100379;Alto Alegre dos Parecis;2;5;87.90;774.86860;0.00000;0.00000;2.99000;2.48000;10.79000;34.90000;32.19000;11.13000;5.52000
2025;11;RO;1100379;Alto Alegre dos Parecis;2;3;87.90;774.86860;0.00000;0.00000;2.99000;2.48000;10.79000;34.90000;32.19000;11.13000;5.52000
2025;11;RO;1100403;Alto Paraíso;2;5;75.45;757.47650;0.61000;3.67000;4.18000;6.62000;19.67000;34.72000;20.39000;7.39000;2.74000
2025;11;RO;1100403;Alto Paraíso;2;3;75.45;757.47650;0.61000;3.67000;4.18000;6.62000;19.67000;34.72000;20.39000;7.39000;2.74000
2025;11;RO;1100452;Buritis;2;3;76.00;761.48240;1.72000;1.93000;3.09000;9.29000;12.63000;33.97000;23.65000;12.41000;1.31000
2025;11;RO;1100452;Buritis;2;5;76.00;761.48240;1.72000;1.93000;3.09000;9.29000;12.63000;33.97000;23.65000;12.41000;1.31000
2025;11;RO;1100502;Novo Horizonte do Oeste;2;5;84.97;769.20610;0.00000;1.96000;1.85000;6.50000;11.31000;41.67000;20.16000;10.79000;5.77000
2025;11;RO;1100502;Novo Horizonte do Oeste;2;3;84.97;769.20610;0.00000;1.96000;1.85000;6.50000;11.31000;41.67000;20.16000;10.79000;5.77000
2025;11;RO;1100601;Cacaulândia;2;3;90.07;772.65260;0.00000;0.00000;0.00000;5.67000;9.87000;39.53000;30.92000;11.25000;2.76000
2025;11;RO;1100601;Cacaulândia;2;5;90.07;772.65260;0.00000;0.00000;0.00000;5.67000;9.87000;39.53000;30.92000;11.25000;2.76000
2025;11;RO;1100700;Campo Novo de Rondônia;2;3;81.15;763.28410;2.66000;0.54000;2.12000;5.03000;16.13000;34.71000;29.93000;6.65000;2.23000
2025;11;RO;1100700;Campo Novo de Rondônia;2;5;81.15;763.28410;2.66000;0.54000;2.12000;5.03000;16.13000;34.71000;29.93000;6.65000;2.23000
2025;11;RO;1100809;Candeias do Jamari;2;5;61.95;747.80730;1.55000;4.64000;8.14000;12.45000;17.41000;30.17000;18.68000;5.73000;1.23000
2025;11;RO;1100809;Candeias do Jamari;2;3;61.95;747.80730;1.55000;4.64000;8.14000;12.45000;17.41000;30.17000;18.68000;5.73000;1.23000
2025;11;RO;1100908;Castanheiras;2;5;77.45;752.53220;6.82000;3.85000;7.69000;4.20000;8.74000;34.44000;21.33000;12.94000;0.00000
2025;11;RO;1100908;Castanheiras;2;3;77.45;752.53220;6.82000;3.85000;7.69000;4.20000;8.74000;34.44000;21.33000;12.94000;0.00000
2025;11;RO;1100924;Chupinguaia;2;3;74.24;758.41850;0.80000;3.71000;4.95000;7.31000;14.15000;38.02000;20.38000;8.32000;2.36000
2025;11;RO;1100924;Chupinguaia;2;5;74.24;758.41850;0.80000;3.71000;4.95000;7.31000;14.15000;38.02000;20.38000;8.32000;2.36000
2025;11;RO;1100940;Cujubim;2;3;88.93;775.68500;0.39000;0.74000;1.65000;4.70000;7.12000;38.10000;24.01000;17.84000;5.46000
2025;11;RO;1100940;Cujubim;2;5;88.93;775.68500;0.39000;0.74000;1.65000;4.70000;7.12000;38.10000;24.01000;17.84000;5.46000
2025;11;RO;1101005;Governador Jorge Teixeira;2;3;93.15;778.31660;0.00000;0.00000;0.00000;4.33000;6.81000;36.58000;29.66000;18.24000;4.39000
2025;11;RO;1101005;Governador Jorge Teixeira;2;5;93.15;778.31660;0.00000;0.00000;0.00000;4.33000;6.81000;36.58000;29.66000;18.24000;4.39000
